source,target,weight
6875981,5613487,1
6875981,964541_07,1
6875981,4376198,1
6875981,5332593,1
6875981,1532857,1
6875964,6634129,1
6875964,1183769,1
6875964,568116,1
6875964,568105,1
6875964,6634122,1
6875964,5613500,1
6875964,6634108,1
6875964,5613483,1
6875953,4658186,1
6875953,1372206,1
6875953,1183795,1
6875953,6064964,1
6876024,4015488,1
6876024,964531,1
6876024,4015464,1
6876024,964541_06,1
6876024,1250385,1
6876024,6327205,1
6876024,4376192,1
6876024,6327234,1
6876024,568138,1
6875963,6327204,1
6875963,1532839,1
6875963,5290764,1
6875963,1183774,1
6875963,885716,1
6875963,4658183,1
6875990,6634129,1
6875990,885739,1
6875990,4015461,1
6875990,4658178,1
6875990,4376198,1
6875990,5613483,1
6875990,5290755,1
6875990,1173157,1
6875990,809921,1
6875945,5290768,1
6875945,4376196,1
6875945,964540,1
6875945,6064970,1
6875945,6634145,1
6875945,1250353,1
6634182,1532788,1
6634182,4376131,1
6634182,4376133,1
6634182,5613452,1
6634182,4658129,1
6634182,6064988,1
6634182,4376187,1
6634182,4376146,1
6634182,885086,1
6634156,559213,1
6634156,1532136,1
6634156,4376144,1
6634156,146372,1
6634156,6327265,1
6634156,235203,1
6634156,1382903,1
6634156,4677365,1
6634156,559211,1
6634156,1382902,1
6634156,636792,1
6634156,885093,1
6634156,885092,1
6634156,146375,1
6651934,5290742,1
6651934,1532846,1
6651934,1183753,1
6651934,663912,1
6634111,5613440,1
6634111,4376133,1
6634111,1532821,1
6634111,6634169,1
6634111,6065027,1
6634111,6102439,1
6634111,4658146,1
6634111,885086,1
6634111,6327278,1
6634111,4376140,1
6634149,4015449,1
6634149,4015467,1
6634149,5290762,1
6634149,1249004,1
6634149,1532834,1
6634149,6327228,1
6634149,1532787,1
6634149,1532833,1
6634149,964517,1
6634168,4376134,1
6634168,6327298,1
6634168,559213,1
6634168,6327248,1
6634168,6327297,1
6634168,1532136,1
6634168,5613437,1
6634168,4376146,1
6634168,1173148,1
6634168,4376144,1
6634168,6327275,1
6634168,5290695,1
6634168,4658124,1
6634168,235203,1
6634168,1382903,1
6634168,4677365,1
6634168,6102438,1
6634168,4658127,1
6634168,4658129,1
6634168,729560,1
6634168,1382902,1
6634168,6327277,1
6634168,146375,1
6634169,6327298,1
6634169,5290702,1
6634169,398859,1
6634169,6400486,1
6634169,6102453,1
6634169,5333431,1
6634169,5613467,1
6634169,6327265,1
6634169,5332628,1
6634169,146402,1
6634169,6102450,1
6634169,4677368,1
6634169,5652460,1
6634169,6064952,1
6634169,1532142,1
6634169,4388999,1
6634169,1382902,1
6634169,5290719,1
6634169,6102448,1
6634169,1382892,1
6634108,5290766,1
6634108,1532781,1
6634108,4015488,1
6634108,6064940,1
6634108,5613502,1
6634108,5613487,1
6634108,6327248,1
6634108,5613480,1
6634108,5290733,1
6634108,6065005,1
6634108,5290695,1
6634108,6064943,1
6634108,6327215,1
6634108,6327228,1
6634108,4658185,1
6634108,5290692,1
6634108,6327216,1
6634175,6064936,1
6634175,1382906,1
6634133,5290738,1
6634133,4658156,1
6634133,4376174,1
6634133,4376175,1
6634150,6064977,1
6634150,4376160,1
6634150,1250394,1
6634150,885683,1
6634150,5613490,1
6634150,1372209,1
6634150,1250406,1
6634150,5613492,1
6634150,6327241,1
6634150,6064955,1
6634150,6064942,1
6634150,1183764,1
6634150,1532803,1
6634150,5290775,1
6634181,559213,1
6634181,4376144,1
6634181,146375,1
6634181,729560,1
6634181,1532136,1
6634181,5653599,1
6634181,885092,1
6634109,4376167,1
6634109,4015464,1
6634109,1250383,1
6634110,6327277,1
6634110,5613425,1
6634110,4388992,1
6634110,4015432,1
6634110,4035748,1
6634110,5613456,1
6634110,6327248,1
6634110,885086,1
6634110,4376131,1
6634110,5290695,1
6634110,4677366,1
6634110,4677365,1
6634110,4388992,1
6634110,5290702,1
6634110,5332611,1
6634110,5613449,1
6634110,5333919,1
6634110,6065017,1
6634110,5290723,1
6634110,4658131,1
6634187,5613460,1
6634187,5290764,1
6634187,146402,1
6634187,5613461,1
6634187,4015449,1
6634187,4658163,1
6634187,5613439,1
6634187,1382895,1
6634187,4658188,1
6634187,4658174,1
6634187,4389000,1
6634187,6064997,1
6634187,485139,1
6634187,1532833,1
6634187,5613459,1
6634187,663875,1
6634187,1183785,1
6634126,5613437,1
6634126,1532781,1
6634126,4376131,1
6634126,1532136,1
6634126,6327257,1
6634126,4376144,1
6634126,6327275,1
6634126,4015439,1
6634126,5290713,1
6634126,1249008,1
6634126,729560,1
6634126,146375,1
6634117,6064964,1
6634099,6102445,1
6634099,1382886,1
6634099,528693,1
6634099,4376133,1
6634099,175815,1
6634099,1532129,1
6634099,636761,1
6634123,1183769,1
6634123,1532853,1
6634123,568116,1
6634123,5613476,1
6634123,5613483,1
6634145,964540,1
6634145,4015440,1
6634145,964540,1
6634145,5613475,1
6634157,885091,1
6634157,1532128,1
6634157,5613436,1
6634157,6064996,1
6634157,5290702,1
6634122,6064958,1
6634122,568116,1
6634122,5613488,1
6634122,5613483,1
6634122,4376175,1
6634132,885086,1
6634132,1532792,1
6634132,5290767,1
6634132,6327233,1
6634132,4015489,1
6634132,485139,1
6634132,4376204,1
6634132,5290765,1
6634132,5290766,1
6634129,1183769,1
6634129,568105,1
6634129,1532807,1
6634129,5613483,1
6634188,1532853,1
6634188,6064941,1
6634188,6064958,1
6634188,4015453,1
6634188,5613488,1
6634188,5613483,1
6634188,568116,1
6634188,4376175,1
6634166,5613425,1
6634166,6327248,1
6634166,6065016,1
6634166,4376146,1
6634166,801851,1
6634166,6065017,1
6634184,175815,1
6634184,6102463,1
6634184,5652398,1
6634184,4677361,1
6634184,4677363,1
6634184,6064996,1
6634184,6102457,1
6634138,6327230,1
6634138,5613487,1
6634138,5613488,1
6634138,6064952,1
6634138,885734,1
6634138,5613486,1
6634138,4376186,1
6634095,1372207,1
6634095,5290764,1
6634095,6064967,1
6634095,4658165,1
6634095,6064947,1
6634095,4376171,1
6634095,6327208,1
6634095,4015464,1
6634116,6400552,1
6634116,6064994,1
6634116,1532151,1
6634116,6065001,1
6634116,1173155,1
6634116,6065000,1
6634116,4658145,1
6634116,4376154,1
6634116,1173148,1
6634116,1532129,1
6634116,1173160,1
6634116,4376146,1
6634155,1532142,1
6634155,5290705,1
6634155,5613440,1
6634155,1249015,1
6634155,146402,1
6634155,6400488,1
6634155,663866,1
6634155,485140,1
6634155,5613439,1
6634155,5290702,1
6634155,4035763,1
6634155,809866,1
6634155,1382891,1
6634155,1382892,1
6634155,1382893,1
6634155,5290704,1
6634155,4658123,1
6634155,1173151,1
6634098,5290726,1
6634098,6065003,1
6634098,4015416,1
6634098,1382906,1
6634159,809910,1
6634159,5613461,1
6634159,6064965,1
6634159,964516,1
6634159,6064942,1
6634159,5290751,1
6634128,5290709,1
6634128,6064985,1
6634128,4376149,1
6634128,1532142,1
6634128,636793,1
6634128,5652392,1
6634128,6400490,1
6634128,4658124,1
6634128,5332628,1
6634190,5333443,1
6634190,6064995,1
6634190,6065000,1
6634190,5290706,1
6634190,6064990,1
6634190,885087,1
6634189,4015433,1
6634189,1532136,1
6634189,4015416,1
6634189,5290692,1
6634189,1382906,1
6634189,1382886,1
6634189,1532788,1
6634189,6065012,1
6634189,1532134,1
6634097,1532836,1
6634097,1250396,1
6634124,6400487,1
6634124,6400486,1
6634124,6327290,1
6634124,1532142,1
6634124,1382893,1
6634124,6327268,1
6634124,5652392,1
6634124,6400490,1
6634124,6065024,1
6634124,729568,1
6634124,6102448,1
6634124,5290704,1
6634161,5290753,1
6634161,1250414,1
6634161,4015487,1
6634177,1532809,1
6634177,1532815,1
6634177,4015501,1
6634177,1250384,1
6634192,1532142,1
6634192,4376168,1
6634192,5290705,1
6634192,5332586,1
6634192,4376133,1
6634192,146386,1
6634192,6064996,1
6634192,5613448,1
6634192,6064990,1
6634192,398859,1
6634192,6064997,1
6634192,5613431,1
6634192,885086,1
6634192,4376140,1
6634192,1382895,1
6634192,4658123,1
6634192,175796,1
6634119,5290760,1
6634119,885739,1
6634119,4035756,1
6634119,5290695,1
6634119,5613427,1
6634119,5290731,1
6634119,175815,1
6634119,5613429,1
6634160,5652931,1
6634160,6400557,1
6634160,6065008,1
6634160,6102461,1
6634160,6400485,1
6634173,6327257,1
6634173,6327261,1
